user_id,age,gender,skill,path,ear_id,ear_view_pos,method,first_img,total_time,sam1_proposed_am,sam2_proposed_am,sam1_interactive_am,sam2_interactive_am,polygon_drawing_am,sam2_tracking_am,panorama_tracking_am,total_masks_am,sam1_proposed_sm,sam2_proposed_sm,sam1_interactive_sm,sam2_interactive_sm,poly_n,sam2_tracking_sm,panorama_tracking_sm,total_masks_sm,track_n,amg_n,inter_n,ds_per_mask,user_img,method_imgpos,method_imgpos_ear,ear_img,track_time,amg_time,inter_time,poly_time,ds_per_mask_track,ds_per_mask_amg,ds_per_mask_inter,ds_per_mask_poly
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,869,0,108,0,1,0,67,0,176,0,4,0,1,0,66,0,71,66,4,1,12.23943661971831,5_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,512.0,357.0,,,7.757576,89.25,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2752_annots_structured_sam1,39320223525022,2752,sam1,True,3149,95,0,1,0,5,0,0,101,68,0,0,0,4,0,0,72,0,68,0,43.736111111111114,5_39320223525022,sam1_1,sam1_1_39320223525022,39320223525022_2752,,802.0,,2347,,11.794118,,586.75
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,1819,0,109,0,5,0,0,0,114,0,67,0,5,0,0,0,72,0,67,5,25.26388888888889,5_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,964.0,855.0,,,14.38806,171.0,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39320223525022_low_2752_indicated_annots_polygon,39320223525022,2752,polygon,True,282,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,94.0,5_39320223525022,polygon_1,polygon_1_39320223525022,39320223525022_2752,,,,,,,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39420224413028_low_1856_annots_structured_sam1,39420224413028,1856,sam1,False,4776,140,0,1,0,3,0,124,268,91,0,1,0,3,0,23,118,23,91,1,40.47457627118644,5_39420224413028,sam1_2,sam1_2_39420224413028,39420224413028_1856,1799.0,1137.0,,1840,78.21739,12.494506,,613.3333
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39420224413028_low_1856_annots_structured_sam2,39420224413028,1856,sam2,False,1353,0,166,0,1,1,121,0,289,0,2,0,1,1,117,0,121,117,2,1,11.181818181818182,5_39420224413028,sam2_2,sam2_2_39420224413028,39420224413028_1856,736.0,,,,6.2905984,,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39420224413028_low_1920_annots_structured_sam1,39420224413028,1920,sam1,True,1848,154,0,0,0,0,0,0,154,124,0,0,0,0,0,0,124,0,124,0,14.903225806451612,5_39420224413028,sam1_1,sam1_1_39420224413028,39420224413028_1920,,1848.0,,,,14.903226,,
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39420224413028_low_1920_annots_structured_sam2,39420224413028,1920,sam2,True,3936,0,180,0,5,3,0,0,188,0,119,0,3,3,0,0,125,0,119,3,31.488,5_39420224413028,sam2_1,sam2_1_39420224413028,39420224413028_1920,,1761.0,1339.0,836,,14.798319,446.33334,278.66666
5,26,Female,6,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_5\39420224413028_low_1920_indicated_annots_polygon,39420224413028,1920,polygon,True,292,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,97.33333333333333,5_39420224413028,polygon_1,polygon_1_39420224413028,39420224413028_1920,,,,,,,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_192_annots_structured_sam1,39320223493024,192,sam1,False,2995,120,0,2,0,0,0,67,189,51,0,2,0,0,0,37,90,37,51,2,33.27777777777778,6_39320223493024,sam1_2,sam1_2_39320223493024,39320223493024_192,1761.0,1005.0,,,47.594593,19.705883,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_192_annots_structured_sam2,39320223493024,192,sam2,False,1344,0,129,0,5,0,85,0,219,0,0,0,5,0,81,0,86,81,0,5,15.627906976744185,6_39320223493024,sam2_2,sam2_2_39320223493024,39320223493024_192,1200.0,,144.0,,14.814815,,28.8,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_256_annots_structured_sam1,39320223493024,256,sam1,True,2493,123,0,5,0,1,0,0,129,84,0,5,0,1,0,0,90,0,84,5,27.7,6_39320223493024,sam1_1,sam1_1_39320223493024,39320223493024_256,,1335.0,1158.0,,,15.892858,231.6,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_256_annots_structured_sam2,39320223493024,256,sam2,True,2481,0,135,0,7,0,0,0,142,0,83,0,6,0,0,0,89,0,83,6,27.876404494382022,6_39320223493024,sam2_1,sam2_1_39320223493024,39320223493024_256,,1585.0,896.0,,,19.096386,149.33333,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223493024_low_256_indicated_annots_polygon,39320223493024,256,polygon,True,439,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,146.33333333333334,6_39320223493024,polygon_1,polygon_1_39320223493024,39320223493024_256,,,,,,,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2688_annots_structured_sam1,39320223525022,2688,sam1,False,3226,97,0,7,0,0,0,60,164,33,0,7,0,0,0,33,73,33,33,7,44.19178082191781,6_39320223525022,sam1_2,sam1_2_39320223525022,39320223525022_2688,1681.0,517.0,1028.0,,50.939392,15.666667,146.85715,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2688_annots_structured_sam2,39320223525022,2688,sam2,False,1992,0,108,0,3,0,65,0,176,0,3,0,3,0,63,0,69,63,3,3,28.869565217391305,6_39320223525022,sam2_2,sam2_2_39320223525022,39320223525022_2688,1179.0,60.0,753.0,,18.714285,20.0,251.0,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2752_annots_structured_sam1,39320223525022,2752,sam1,True,1090,95,0,0,0,0,0,0,95,60,0,0,0,0,0,0,60,0,60,0,18.166666666666668,6_39320223525022,sam1_1,sam1_1_39320223525022,39320223525022_2752,,1090.0,,,,18.166666,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2752_annots_structured_sam2,39320223525022,2752,sam2,True,2061,0,109,0,5,0,0,0,114,0,62,0,5,0,0,0,67,0,62,5,30.761194029850746,6_39320223525022,sam2_1,sam2_1_39320223525022,39320223525022_2752,,1651.0,410.0,,,26.629032,82.0,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39320223525022_low_2752_indicated_annots_polygon,39320223525022,2752,polygon,True,309,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,103.0,6_39320223525022,polygon_1,polygon_1_39320223525022,39320223525022_2752,,,,,,,,
6,31,Male,5,C:\Users\geink81\Desktop\ARAMSAM_UserExperiment\User_6\39420224413028_low_1856_annots_structured_sam1,39420224413028,1856,sam1,False,4807,140,0,7,0,0,0,122,269,83,0,7,0,0,0,25,115,25,83,7,41.8,6_39420224413028,sam1_2,sam1_2_39420224413028,39420224413028_1856,1965.0,1746.0,1096.0,,78.6,21.036144,156.57143,
