Dice per mask,Gdice per mask,IoU per mask,Mask N,Sam generation,Weights path,Dataset
0.9565986394882202,0.9137942790985107,0.9200871586799622,20,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9833764433860779,0.9669567346572876,0.9678162932395935,21,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.973860502243042,0.9479536414146423,0.9503073692321777,22,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9801749587059021,0.9605830311775208,0.9618533849716187,23,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9737201929092407,0.9482272863388062,0.9500284194946289,24,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9701683521270752,0.9406490325927734,0.9436788558959961,25,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9786149263381958,0.9577771425247192,0.9589625597000122,26,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9646751880645752,0.9306092858314514,0.9339364767074585,27,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9534595608711243,0.9072548151016235,0.9148193001747131,28,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9832503795623779,0.96677565574646,0.9675781726837158,29,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.975456714630127,0.9516178369522095,0.9531782865524292,30,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9833462834358215,0.9672360420227051,0.9677493572235107,31,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.97554612159729,0.9514951705932617,0.9533541202545166,32,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9812209010124207,0.9626799821853638,0.9637929201126099,33,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9263200759887695,0.8533991575241089,0.8714621067047119,34,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9769011735916138,0.9540354609489441,0.9558324217796326,35,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9754006862640381,0.9512641429901123,0.9530879259109497,36,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
0.9596487283706665,0.9200426340103149,0.9252712726593018,37,1,sam_vit_l_0b3195.pth,ExperimentData/BackboneExperimentData/Soil
